Species,Marginal_parechyma_2,Ring_porosity,Radial_dentric_arrangement,Intervessel_pit_size,Helical_thickening,Tyloses,Gums,Septate_fibers,Axial_parenchyma_multistate,AP_states,Wide_rays_more_than_3_cells,Ray_composition,Storied_structure,Radial_canals,Traumatic_canals,Crystals,Crystals_in_rays,Crystals_in_ap,Crystals_in_fibers,Silica,Vessel_ray pits,Growth_ring,FibersThick
Acer,absent,absent,absent,large,present,absent,absent,absent,scanty,short,present,homo_exclusively,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Aegle_marmelos,present,absent,present,small,absent,absent,present,absent,vasicentric,short,absent,homo_exclusively,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Aesculus_pavia,present,absent,absent,small+large,present,absent,present,absent,scanty,short,absent,homo_exclusively,present,absent,absent,absent,absent,absent,NA,absent,equal,present,absent
Aglaia_elaeagnoidea,present,absent,absent,small,absent,absent,present,present,aliform,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Aglaia_odorata,present,absent,absent,small,absent,absent,present,present,aliform,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Ailanthus_altissima,present,present,present,small,present,absent,present,absent,vasicentric,long,present,homo_hetero_one,present,absent,absent,absent,absent,absent,absent,absent,equal,present,absent
Ailanthus_integrifolia,absent,absent,absent,small,absent,absent,absent,absent,aliform,long,present,homo_hetero_one,absent,absent,absent,present,present,absent,absent,absent,equal,absent,absent
Alectryon_connatus,absent,absent,absent,small,present,absent,present,present,vasicentric,long,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,absent,absent
Amphipterygium_adstringens,absent,absent,absent,small,absent,present,absent,present,scanty,short,absent,homo_hetero_one,absent,present,absent,absent,absent,absent,absent,absent,simple,present,absent
Apterokarpos_gardneri,absent,absent,absent,large,absent,present,absent,present,vasicentric,long,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,present,simple,present,absent
Arytera_littoralis,absent,absent,absent,small,present,absent,present,present,vasicentric,long,absent,hetero_more_one,absent,absent,absent,present,absent,present,present,absent,equal,present,absent
Atalantia,present,absent,present,small,absent,absent,absent,absent,scanty,short,absent,homo_exclusively,absent,absent,absent,present,absent,present,absent,absent,equal,present,present
Atalaya,present,absent,absent,small,absent,absent,present,present,aliform,long,absent,homo_exclusively,absent,absent,absent,present,absent,present,NA,NA,equal,absent,absent
Aucoumea_klaineana,absent,absent,absent,large,absent,present,absent,present,scanty,long,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,present,simple,absent,absent
Azadirachta_indica,present,absent,absent,small,absent,absent,present,absent,vasicentric,long,present,hetero_more_one,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Beiselia_mexicana,absent,absent,absent,large,absent,absent,absent,present,scanty,NA,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,absent,simple,absent,absent
Blepharocarya_involucrigera,absent,absent,absent,large,absent,present,absent,present,scanty,short,absent,homo_hetero_one,absent,absent,absent,absent,absent,absent,absent,absent,simple,present,absent
