Species,Ring_porosity,Helical_thickening
Acer,absent,present
Aegle_marmelos,absent,absent
Aesculus_pavia,absent,present
Aglaia_elaeagnoidea,absent,absent
Aglaia_odorata,absent,absent
Ailanthus_altissima,present,present
Ailanthus_integrifolia,absent,absent
Alectryon_connatus,absent,present
Amphipterygium_adstringens,absent,absent
Apterokarpos_gardneri,absent,absent
Arytera_littoralis,absent,present
Atalantia,absent,absent
Atalaya,absent,absent
Aucoumea_klaineana,absent,absent
Azadirachta_indica,absent,absent
Beiselia_mexicana,absent,absent
Blepharocarya_involucrigera,absent,absent
Boswellia_neglecta,absent,absent
Brucea_guineensis,absent,absent
Brucea_javanica,absent,absent
Buchanania_arborescens,absent,absent
Bursera_biflora,absent,absent
Bursera_cuneata,absent,absent
Bursera_hindsiana,absent,absent
Bursera_lancifolia,absent,absent
Bursera_microphylla,absent,absent
Bursera_simaruba,absent,absent
Bursera_tecomaca,absent,absent
Cabralea_canjerana,absent,absent
Canarium_decumanum,absent,absent
Canarium_indicum,absent,absent
Canarium_muelleri,absent,absent
Canarium_oleiferum,absent,absent
Canarium_ovatum,absent,absent
Canarium_pilosum,absent,absent
Canarium_tramdenum,absent,absent
Capuronianthus_madagascariensis,absent,absent
Carapa_guianensis,absent,absent
Cardiospermum_halicacabum,absent,absent
Casimiroa_edulis,absent,absent
Castela_coccinea,present,absent
Cedrela_odorata,present,absent
Chloroxylon_swietenia,absent,absent
Choerospondias_axillaris,present,absent
Choisya,present,present
Chukrasia_tabularis,absent,absent
Citrus,absent,absent
Citrus_medica,absent,absent
Clausena,absent,absent
Cneorum_tricoccon,present,present
Commiphora_edulis,absent,absent
Commiphora_falcata,absent,absent
Commiphora_schimperi,absent,absent
Comocladia_engleriana,absent,absent
Cotinus_obovatus,present,present
Crepidospermum_goudotianum,absent,absent
Cupaniopsis_anacardioides,absent,present
Dacryodes_cuspidata,absent,absent
Dacryodes_edulis,absent,absent
Dacryodes_rostrata,absent,absent
Dacryodes_rugosa,absent,absent
Dilodendron_bipinnatum,absent,absent
Diploglottis,absent,absent
Diplokeleba_floribunda,absent,absent
Dodonaea_viscosa,absent,present
Dracontomelon_lenticulatum,absent,absent
Dysoxylum_arborescens,absent,absent
Ekebergia_capensis,absent,absent
Eurycoma_apiculata,absent,absent
Eurycorymbus_cavaleriei,absent,present
Faguetia_falcata,absent,absent
Fegimanra_africana,absent,absent
Filicium_decipiens,absent,absent
Flindersia_australis,absent,absent
Ganophyllum_falcatum,absent,absent
Garuga_floribunda,absent,absent
Guarea_glabra,absent,absent
Guioa,absent,absent
Harpephyllum_caffrum,absent,absent
Harpullia_arborea,absent,absent
Holacantha_emoryi,absent,present
Hypelate_trifoliata,absent,absent
Khaya,absent,absent
Kirkia_acuminata,absent,absent
Koelreuteria_paniculata,present,present
Lannea_rivae,absent,absent
Lansium_domesticum,absent,absent
Leitneria_floridana,present,present
Lepidotrichilia,absent,absent
Litchi_chinensis,absent,present
Lovoa_trichilioides,absent,absent
Loxopterygium_huasango,absent,absent
Loxostylis_alata,absent,absent
Mangifera_indica,absent,absent
Melia_azedarach,present,present
Melicope,absent,absent
Metopium_brownei,absent,absent
Micronychia_macrophylla,absent,absent
Murraya_paniculata,absent,absent
Nephelium_lappaceum,absent,absent
Nitraria_retusa,absent,present
Nothospondias_staudtii,absent,absent
Nymania_capensis,absent,absent
Odyendea_gabunensis,absent,absent
Operculicarya_decaryi,absent,absent
Owenia,absent,absent
Pachycormus_discolor,absent,absent
Pappea_capensis,absent,absent
Perriera_madagascariensis,absent,absent
Phellodendron_amurense,present,present
Picrasma_javanica,absent,absent
Picrasma_quassioides,present,absent
Pierreodendron_africanum,absent,absent
Pistacia_chinensis,present,present
Pleiospermium,absent,absent
Poncirus_trifoliata,absent,present
Protium_madagascariense,absent,absent
Protium_serratum,absent,absent
Protium_copal,absent,absent
Protorhus_thouvenotii,absent,absent
Ptaeroxylon_obliquum,absent,absent
Quassia_amara,absent,absent
Reinwardtiodendron,absent,absent
Rhus_thouarsii,absent,absent
Rhus_typhina,present,present
Ruta,absent,present
Samadera_indica,absent,absent
Sandoricum_cf_koetjape,absent,absent
Santiria_apiculata,absent,absent
Santiria_griffithii,absent,absent
Santiria_trimera,absent,absent
Sapindus_saponaria,absent,present
Sarcomelicope_simplicifolia,absent,absent
Schinus_molle,present,present
Schleichera_oleosa,absent,absent
Searsia_erosa,absent,absent
Semecarpus_forstenii,absent,absent
Serjania,absent,absent
Simaba,absent,absent
Simaba_orinocensis,absent,absent
Simarouba,absent,absent
Skimmia_japonica,absent,absent
Soulamea_sp,absent,absent
Spathelia,absent,absent
Spondias_tuberosa,absent,absent
Swietenia_mahagoni,absent,absent
Swietenia_macrophylla,absent,absent
Talisia_nervosa,absent,absent
Tapirira_bethanniana,absent,absent
Tapirira_obtusa,absent,absent
Tetradium,present,present
Tetragastris_altissima,absent,absent
Thouinia_portoricensis,absent,absent
Toechima_tenax,absent,present
Toona_sinensis,present,absent
Toxicodendron_vernicifluum,present,present
Trattinnickia_demerarae,absent,absent
Trichilia_emetica,absent,absent
Triomma_malaccensis,absent,absent
Tristira_triptera,absent,absent
Tristiropsis_acutangula,absent,absent
Turraea_sericea,absent,absent
Turraeanthus_sp,absent,absent
Walsura_tubulata,absent,absent
Xanthoceras_sorbifolium,present,present
Xylocarpus_mekongensis,absent,absent
Zanthoxylum_ailanthoides,present,absent
Zanthoxylum_nitidum,absent,absent
