Species,Vessel_ray pits,Tyloses
Acer,equal,absent
Aegle_marmelos,equal,absent
Aesculus_pavia,equal,absent
Aglaia_elaeagnoidea,equal,absent
Aglaia_odorata,equal,absent
Ailanthus_altissima,equal,absent
Ailanthus_integrifolia,equal,absent
Alectryon_connatus,equal,absent
Amphipterygium_adstringens,simple,present
Apterokarpos_gardneri,simple,present
Arytera_littoralis,equal,absent
Atalantia,equal,absent
Atalaya,equal,absent
Aucoumea_klaineana,simple,present
Azadirachta_indica,equal,absent
Beiselia_mexicana,simple,absent
Blepharocarya_involucrigera,simple,present
Boswellia_neglecta,simple,absent
Brucea_guineensis,equal,absent
Brucea_javanica,equal,absent
Buchanania_arborescens,simple,present
Bursera_biflora,simple,present
Bursera_cuneata,simple,absent
Bursera_hindsiana,simple,absent
Bursera_lancifolia,simple,present
Bursera_microphylla,simple,absent
Bursera_simaruba,simple,absent
Bursera_tecomaca,simple,absent
Cabralea_canjerana,equal,absent
Canarium_decumanum,simple,absent
Canarium_indicum,simple,present
Canarium_muelleri,simple,absent
Canarium_oleiferum,simple,present
Canarium_ovatum,simple,present
Canarium_pilosum,simple,present
Canarium_tramdenum,simple,present
Capuronianthus_madagascariensis,equal,absent
Carapa_guianensis,equal,absent
Cardiospermum_halicacabum,equal,absent
Casimiroa_edulis,equal,absent
Castela_coccinea,equal,absent
Cedrela_odorata,equal,absent
Chloroxylon_swietenia,equal,absent
Choerospondias_axillaris,simple,present
Choisya,equal,absent
Chukrasia_tabularis,equal,absent
Citrus,equal,absent
Citrus_medica,equal,absent
Clausena,equal,absent
Cneorum_tricoccon,equal,absent
Commiphora_edulis,simple,absent
Commiphora_falcata,simple,present
Commiphora_schimperi,simple,absent
Comocladia_engleriana,simple,present
Cotinus_obovatus,simple,present
Crepidospermum_goudotianum,simple,present
Cupaniopsis_anacardioides,equal,absent
Dacryodes_cuspidata,simple,present
Dacryodes_edulis,simple,absent
Dacryodes_rostrata,simple,present
Dacryodes_rugosa,simple,present
Dilodendron_bipinnatum,equal,absent
Diploglottis,equal,absent
Diplokeleba_floribunda,equal,absent
Dodonaea_viscosa,equal,absent
Dracontomelon_lenticulatum,simple,present
Dysoxylum_arborescens,equal,absent
Ekebergia_capensis,equal,absent
Eurycoma_apiculata,equal,absent
Eurycorymbus_cavaleriei,equal,absent
Faguetia_falcata,equal,present
Fegimanra_africana,simple,absent
Filicium_decipiens,simple,absent
Flindersia_australis,equal,absent
Ganophyllum_falcatum,equal,absent
Garuga_floribunda,equal,absent
Guarea_glabra,equal,absent
Guioa,equal,absent
Harpephyllum_caffrum,equal,present
Harpullia_arborea,simple,absent
Holacantha_emoryi,equal,absent
Hypelate_trifoliata,equal,absent
Khaya,equal,absent
Kirkia_acuminata,simple,present
Koelreuteria_paniculata,equal,absent
Lannea_rivae,equal,present
Lansium_domesticum,simple,absent
Leitneria_floridana,equal,absent
Lepidotrichilia,equal,absent
Litchi_chinensis,equal,absent
Lovoa_trichilioides,equal,absent
Loxopterygium_huasango,equal,present
Loxostylis_alata,simple,absent
Mangifera_indica,simple,absent
Melia_azedarach,simple,absent
Melicope,equal,absent
Metopium_brownei,equal,present
Micronychia_macrophylla,simple,present
Murraya_paniculata,simple,absent
Nephelium_lappaceum,equal,absent
Nitraria_retusa,equal,absent
Nothospondias_staudtii,equal,absent
Nymania_capensis,equal,absent
Odyendea_gabunensis,equal,absent
Operculicarya_decaryi,equal,absent
Owenia,simple,absent
Pachycormus_discolor,equal,absent
Pappea_capensis,equal,absent
Perriera_madagascariensis,equal,absent
Phellodendron_amurense,equal,absent
Picrasma_javanica,equal,absent
Picrasma_quassioides,equal,absent
Pierreodendron_africanum,equal,absent
Pistacia_chinensis,equal,absent
Pleiospermium,simple,absent
Poncirus_trifoliata,equal,absent
Protium_copal,equal,present
Protium_madagascariense,simple,present
Protium_serratum,simple,present
Protorhus_thouvenotii,simple,present
Ptaeroxylon_obliquum,simple,absent
Quassia_amara,equal,absent
Reinwardtiodendron,equal,absent
Rhus_thouarsii,equal,present
Rhus_typhina,simple,present
Ruta,simple,absent
Samadera_indica,equal,absent
Sandoricum_cf_koetjape,equal,absent
Santiria_apiculata,equal,absent
Santiria_griffithii,simple,absent
Santiria_trimera,simple,present
Sapindus_saponaria,simple,absent
Sarcomelicope_simplicifolia,equal,absent
Schinus_molle,equal,present
Schleichera_oleosa,simple,absent
Searsia_erosa,equal,absent
Semecarpus_forstenii,simple,present
Serjania,simple,absent
Simaba,equal,absent
Simaba_orinocensis,equal,absent
Simarouba,equal,absent
Skimmia_japonica,equal,absent
Soulamea_sp,equal,absent
Spathelia,equal,absent
Spondias_tuberosa,equal,present
Swietenia_macrophylla,simple,absent
Swietenia_mahagoni,equal,absent
Talisia_nervosa,equal,absent
Tapirira_bethanniana,equal,present
Tapirira_obtusa,simple,present
Tetradium,simple,absent
Tetragastris_altissima,equal,present
Thouinia_portoricensis,simple,absent
Toechima_tenax,equal,absent
Toona_sinensis,equal,absent
Toxicodendron_vernicifluum,equal,present
Trattinnickia_demerarae,simple,present
Trichilia_emetica,simple,absent
Triomma_malaccensis,equal,absent
Tristira_triptera,simple,absent
Tristiropsis_acutangula,equal,absent
Turraea_sericea,equal,absent
Turraeanthus_sp,equal,absent
Walsura_tubulata,equal,absent
Xanthoceras_sorbifolium,equal,absent
Xylocarpus_mekongensis,equal,absent
Zanthoxylum_ailanthoides,equal,absent
Zanthoxylum_nitidum,equal,absent
